Metabolite/Donor ID,Environment,Species1,Species2
4abzglu-e_e0,-2.973563110949046e-14,2.973563110949046e-14,0.0
arabinan101_e0,7.602329218764135e-14,0.0,0.0
argarg_e0,-41.79126969344045,0.0,41.791269693440455
cpd00001_e0,-100.0,-49.94742282345394,520.6991419051806
cpd00007_e0,100.0,48.49517336056413,-148.49517336056414
cpd00009_e0,-100.0,193.2351123363147,-93.23511233631469
cpd00011_e0,-100.0,-496.9421475617041,596.9421475617041
cpd00013_e0,-100.0,615.340959444918,-515.3409594449181
cpd00020_e0,-100.0,1000.0,-900.0
cpd00023_e0,-100.0,200.0,-100.0
cpd00024_e0,-100.0,100.0,0.0
cpd00025_e0,-50.00000000000001,50.00000000000001,0.0
cpd00027_e0,-100.0,0.0,100.0
cpd00028_e0,0.26160515225241304,0.0,-0.26160515225241304
cpd00029_e0,-100.0,-900.0,1000.0000000000001
cpd00030_e0,0.26160515225241293,0.0,-0.261605152252413
cpd00033_e0,-100.0,-221.20296308869442,321.20296308869445
cpd00034_e0,0.26160515225241304,0.0,-0.26160515225241304
cpd00035_e0,-100.0,0.0,100.00000000000001
cpd00036_e0,-100.0,-700.0000000000002,800.0000000000002
cpd00039_e0,18.692887432260562,0.0,-18.692887432260573
cpd00041_e0,-100.0,157.33883506520343,-57.33883506520341
cpd00046_e0,15.139809743142516,-15.139809743142516,0.0
cpd00047_e0,-100.0,100.0,0.0
cpd00053_e0,-100.0,0.0,99.99999999999999
cpd00054_e0,-100.0,121.20296308869445,-21.202963088694425
cpd00058_e0,-6.019306557743572,6.019306557743572,0.0
cpd00060_e0,-91.36904749612476,0.0,91.36904749612476
cpd00063_e0,0.26160515225241304,0.0,-0.261605152252413
cpd00065_e0,100.0,100.0,-200.0
cpd00066_e0,-89.88101407654335,0.0,89.88101407654335
cpd00067_e0,-100.0,-650.6969713904882,1123.7088714078454
cpd00069_e0,7.523670027824892,0.0,-7.523670027824877
cpd00071_e0,100.0,-100.0,0.0
cpd00073_e0,-99.99999999999999,100.0,0.0
cpd00075_e0,100.0,-100.0,0.0
cpd00076_e0,100.0,0.0,-100.0
cpd00080_e0,100.0,-100.0,0.0
cpd00082_e0,-100.0,0.0,99.99999999999999
cpd00084_e0,5.5098483609355435,0.0,-5.5098483609355435
cpd00092_e0,-100.0,0.0,100.0
cpd00100_e0,100.0,-100.0,0.0
cpd00104_e0,0.261605152252413,0.0,-0.261605152252413
cpd00105_e0,-100.0,0.0,100.0
cpd00106_e0,100.0,293.45351911264396,-393.45351911264413
cpd00107_e0,-100.0,0.0,99.99999999999999
cpd00108_e0,-7.602329218764136e-14,0.0,0.0
cpd00116_e0,-100.0,0.0,0.0
cpd00117_e0,-100.0,-756.4278349155048,856.427834915505
cpd00118_e0,-100.00000000000003,100.00000000000001,0.0
cpd00119_e0,100.0,0.0,-100.0
cpd00122_e0,0.0,0.0,-10.365123418892093
cpd00128_e0,57.58997211574783,-57.58997211574783,0.0
cpd00129_e0,-100.0,0.0,100.0
cpd00130_e0,52.939206466445505,-52.939206466445505,0.0
cpd00132_e0,-100.0,102.14685228859824,-2.146852288598234
cpd00137_e0,100.0,-100.0,0.0
cpd00141_e0,-100.0,0.0,100.0
cpd00149_e0,0.261605152252413,0.0,-0.261605152252413
cpd00151_e0,-100.0,100.0,0.0
cpd00152_e0,100.0,-100.0,0.0
cpd00156_e0,-100.0,0.0,100.0
cpd00157_e0,-100.0,100.0,0.0
cpd00159_e0,-100.0,16.62745863817709,83.37254136182291
cpd00161_e0,-100.0,0.0,100.0
cpd00164_e0,-100.0,0.0,0.0
cpd00166_e0,0.26160515225241304,0.0,-0.26160515225241304
cpd00179_e0,100.0,0.0,-149.04138660158202
cpd00182_e0,100.0,112.15797055378829,-212.1579705537883
cpd00184_e0,100.0,-100.00000000000001,0.0
cpd00205_e0,0.261605152252413,0.0,-0.26160515225241304
cpd00206_e0,2.634321291083323,-2.634321291083323,0.0
cpd00207_e0,-100.0,100.0,0.0
cpd00209_e0,100.0,-100.0,0.0
cpd00214_e0,100.0,0.0,0.0
cpd00218_e0,0.5232103045046115,0.0,-0.5232103045046115
cpd00220_e0,0.523210304504826,0.0,-0.523210304504826
cpd00221_e0,-100.0,795.1227114445821,-695.1227114445821
cpd00224_e0,-7.374259342201211e-12,0.0,0.0
cpd00226_e0,-100.0,100.0,0.0
cpd00246_e0,-100.0,0.0,100.0
cpd00249_e0,-100.0,0.0,100.0
cpd00254_e0,0.26160515225241304,0.0,-0.26160515225241304
cpd00263_e0,0.261605152252413,0.0,-0.261605152252413
cpd00276_e0,-100.0,-20.545664171812476,-151.9534153327231
cpd00277_e0,100.0,-99.99999999999999,0.0
cpd00280_e0,-100.0,100.00000000000001,-1.6918806355779298e-13
cpd00281_e0,-100.0,0.0,100.0
cpd00294_e0,54.567998438039346,-54.567998438039346,0.0
cpd00305_e0,0.26160515225241304,0.0,-0.26160515225241304
cpd00309_e0,-100.0,100.00000000000001,0.0
cpd00311_e0,13.03559195144986,0.0,-13.03559195144986
cpd00314_e0,100.0,-100.0,0.0
cpd00322_e0,24.189061487894374,0.0,-24.189061487894374
cpd00355_e0,-4.162236709560002e-13,4.162236709560002e-13,0.0
cpd00359_e0,100.0,-100.0,0.0
cpd00363_e0,100.0,778.8288139650297,-878.8288139650297
cpd00367_e0,100.0,15.139809743142514,-115.13980974314252
cpd00383_e0,-2.942492187186809e-14,2.942492187186809e-14,0.0
cpd00391_e0,2.973563110949046e-14,-2.973563110949046e-14,0.0
cpd00393_e0,0.784815456757239,0.0,-0.784815456757239
cpd00396_e0,-7.602329218764135e-14,0.0,0.0
cpd00430_e0,-100.0,0.0,100.0
cpd00438_e0,100.0,-300.0,200.0
cpd00441_e0,-99.99999999999999,99.99999999999999,0.0
cpd00448_e0,-100.0,100.0,0.0
cpd00450_e0,-100.0,100.00000000000001,0.0
cpd00453_e0,16.627458638177096,-16.627458638177096,0.0
cpd00489_e0,-100.0,0.0,100.0
cpd00532_e0,100.0,-100.0,0.0
cpd00573_e0,100.0,-100.0,0.0
cpd00588_e0,100.0,-100.0,0.0
cpd00644_e0,0.523210304504586,0.0,-0.523210304504586
cpd00654_e0,100.0,2.6343212910833236,-102.63432129108332
cpd00703_e0,-96.90887845270215,0.0,96.90887845270215
cpd00722_e0,-100.0,100.0,0.0
cpd00731_e0,1.4210854715202004e-14,0.0,0.0
cpd00781_e0,-100.0,100.0,0.0
cpd00811_e0,100.0,-100.00000000000001,0.0
cpd00971_e0,0.26160515225242875,0.0,-0.26160515225242875
cpd01217_e0,-100.0,100.0,0.0
cpd01262_e0,-100.0,0.0,0.0
cpd01908_e0,20.892982864045678,-20.892982864045678,0.0
cpd03279_e0,100.0,0.0,-100.0
cpd03587_e0,100.0,0.0,0.0
cpd03725_e0,0.26160515225241304,0.0,-0.26160515225241304
cpd08021_e0,99.99999999999999,-99.99999999999999,0.0
cpd10515_e0,0.261605152252413,0.0,-0.261605152252413
cpd11591_e0,100.0,0.0,-100.0
cpd11640_e0,100.0,-342.82602447502717,242.82602447502722
cpd11658_e0,1.226034665039551,0.0,0.0
cpd14659_e0,100.0,-100.0,0.0
cpd15483_e0,-100.0,0.0,0.0
cpd15500_e0,0.26160515225223063,0.0,-0.26160515225223063
cpd15551_e0,100.0,0.0,-99.99999999999999
cpd15605_e0,100.0,0.0,-100.0
cpd15606_e0,100.0,0.0,-100.0
cpd15836_e0,-94.80920008203184,0.0,94.80920008203184
cpd30760_e0,6.019306557743572,-6.019306557743572,0.0
cps_bt_e0,0.26160515225241304,0.0,-0.261605152252413
galam_e0,100.0,0.0,-100.0
glyasn_e0,11.005139384622892,0.0,-11.005139384622892
glyglu_e0,42.450634236983774,0.0,-42.450634236983774
glypro_e0,12.073178652471562,0.0,-12.073178652471562
ha_pre1_e0,10.365123418892093,0.0,0.0
hspg_degr_11_e0,100.0,0.0,0.0
hspg_degr_12_e0,-96.61466317115988,0.0,0.0
hspg_degr_13_e0,-3.3853368288401366,0.0,0.0
hspg_degr_6_e0,86.24953975226778,0.0,0.0
indlac_e0,-100.0,0.0,100.0
leuleu_e0,66.46890738470599,0.0,-66.46890738470599
levan1000_e0,0.10178983658223796,0.0,0.0
levantttr_e0,-25.44745914555949,0.0,0.0
lps_bt_e0,1.0900214677183875,0.0,-1.0900214677183873
pe_cer1_bt_e0,0.261605152252413,0.0,-0.261605152252413
pect_e0,0.5128205128205128,0.0,0.0
phearg_e0,100.0,0.0,-100.0
pullulan1200_e0,0.25,0.0,0.0
sphmyln_bt_e0,0.261605152252413,0.0,-0.261605152252413
unsdigalur_e0,-100.0,0.0,0.0
zz_Environment,0.0,2126.411056114425,1958.1436660992647
zz_Species1,2472.646765195921,0.0,4218.043364254873
zz_Species2,2898.1319511626657,3735.0970416945634,0.0
