,model1,model2,media,mro_model1,mro_model2,cip,mip,costless_mip,pc,gyd
0,GCF_001422165.1.RAST.fbamodel,GCF_001423965.1.RAST.fbamodel,R2A_edition_003,0.65000 (26/40),0.74286 (26/35),20,20,4,0.8787746403940355,1.665174542828706
1,GCF_001422165.1.RAST.fbamodel,GCF_001424505.1.RAST.fbamodel,R2A_edition_003,0.60000 (24/40),0.72727 (24/33),20,24,4,0.8597624333127618,2.0032766612929294
2,GCF_001422165.1.RAST.fbamodel,GCF_001421245.1.RAST.fbamodel,R2A_edition_003,0.65000 (26/40),0.70270 (26/37),19,25,5,0.8699342464083516,0.8849103401663211
3,GCF_001422165.1.RAST.fbamodel,GCF_001424455.1.RAST.fbamodel,R2A_edition_003,0.65000 (26/40),0.68421 (26/38),24,27,6,0.8932961882649277,1.996259515958276
4,GCF_001422165.1.RAST.fbamodel,GCF_001422325.1.RAST.fbamodel,R2A_edition_003,0.65000 (26/40),0.76471 (26/34),21,18,6,0.8634926994782954,2.0439426580974107
5,GCF_001422165.1.RAST.fbamodel,GCF_001422815.1.RAST.fbamodel,R2A_edition_003,0.95000 (38/40),0.97436 (38/39),15,7,3,0.8888872044589835,0.2468280236257582
6,GCF_001422165.1.RAST.fbamodel,GCF_001424185.1.RAST.fbamodel,R2A_edition_003,0.60000 (24/40),0.66667 (24/36),20,24,4,0.7240063582752616,2.694904734879641
7,GCF_001422165.1.RAST.fbamodel,GCF_001424485.1.RAST.fbamodel,R2A_edition_003,0.65000 (26/40),0.70270 (26/37),24,28,4,0.8940971445823106,1.9962610807721308
8,GCF_001422165.1.RAST.fbamodel,GCF_001423545.1.RAST.fbamodel,R2A_edition_003,0.67500 (27/40),0.87097 (27/31),25,20,6,0.8655522069899878,2.043999362834008
9,GCF_001422165.1.RAST.fbamodel,GCF_001423885.1.RAST.fbamodel,R2A_edition_003,0.67500 (27/40),0.71053 (27/38),24,17,4,0.8800537430691735,1.6350084824180853
10,GCF_001422165.1.RAST.fbamodel,GCF_001425545.1.RAST.fbamodel,R2A_edition_003,0.77500 (31/40),0.81579 (31/38),22,18,3,0.8589349689848615,1.0102966254325476
11,GCF_001422165.1.RAST.fbamodel,GCF_001421415.1.RAST.fbamodel,R2A_edition_003,0.72500 (29/40),0.70732 (29/41),21,29,8,0.8726941598679396,0.6860205582259703
12,GCF_001422165.1.RAST.fbamodel,GCF_916856905.1.RAST.fbamodel,R2A_edition_003,0.75000 (30/40),0.66667 (30/45),20,20,3,0.7204305981785702,1.0513162576549098
13,GCF_001422165.1.RAST.fbamodel,GCF_001422845.1.RAST.fbamodel,R2A_edition_003,0.95000 (38/40),0.95000 (38/40),14,12,3,0.8749645103990288,1.5494280224251142
14,GCF_001422165.1.RAST.fbamodel,GCF_001422425.1.RAST.fbamodel,R2A_edition_003,0.82500 (33/40),0.91667 (33/36),19,19,6,0.8337586872229603,1.906291890431565
15,GCF_001422165.1.RAST.fbamodel,GCF_001422215.1.RAST.fbamodel,R2A_edition_003,0.87500 (35/40),0.87500 (35/40),19,15,1,0.7876984580989668,1.8558405054653695
16,GCF_001422165.1.RAST.fbamodel,GCF_001423845.1.RAST.fbamodel,R2A_edition_003,0.65000 (26/40),0.72222 (26/36),21,17,5,0.7920742204752039,0.7608768314668755
17,GCF_001422165.1.RAST.fbamodel,GCF_001421705.1.RAST.fbamodel,R2A_edition_003,0.67500 (27/40),0.81818 (27/33),18,17,4,0.8941648985721793,0.6641030746460922
18,GCF_001422165.1.RAST.fbamodel,GCF_920984665.1.RAST.fbamodel,R2A_edition_003,0.65000 (26/40),0.68421 (26/38),17,16,2,0.8457025126827815,0.666008611522277
19,GCF_001422165.1.RAST.fbamodel,GCF_001424445.1.RAST.fbamodel,R2A_edition_003,0.90000 (36/40),0.87805 (36/41),16,17,3,0.8828907095346329,0.14683700740543773
20,GCF_001422165.1.RAST.fbamodel,GCF_001424125.1.RAST.fbamodel,R2A_edition_003,0.72500 (29/40),0.93548 (29/31),20,18,4,0.8795582129187721,1.7071436730444822
21,GCF_001422165.1.RAST.fbamodel,GCF_001424305.1.RAST.fbamodel,R2A_edition_003,0.82500 (33/40),0.75000 (33/44),20,19,6,0.8296162630628234,0.4537997041945272
22,GCF_001422165.1.RAST.fbamodel,GCF_001423425.1.RAST.fbamodel,R2A_edition_003,0.62500 (25/40),0.75758 (25/33),21,19,4,0.8785120028912402,0.45697270516578237
23,GCF_001422165.1.RAST.fbamodel,GCF_001425355.1.RAST.fbamodel,R2A_edition_003,0.67500 (27/40),0.87097 (27/31),22,20,6,0.8901342346488714,0.11816284480773442
24,GCF_001422165.1.RAST.fbamodel,GCF_001423205.1.RAST.fbamodel,R2A_edition_003,0.85000 (34/40),0.79070 (34/43),19,14,3,0.7548978754755787,4.923751576478165
25,GCF_001422165.1.RAST.fbamodel,GCF_001424665.1.RAST.fbamodel,R2A_edition_003,0.70000 (28/40),0.70000 (28/40),20,20,5,0.7204883133849695,1.0438327638022542
26,GCF_001422165.1.RAST.fbamodel,GCF_001422105.1.RAST.fbamodel,R2A_edition_003,0.72500 (29/40),0.85294 (29/34),21,12,3,0.7724129624206262,0.5841398465141314
27,GCF_001422165.1.RAST.fbamodel,GCF_001422665.1.RAST.fbamodel,R2A_edition_003,0.72500 (29/40),0.87879 (29/33),23,23,6,0.871711890670524,1.0243813628800242
28,GCF_001422165.1.RAST.fbamodel,GCF_001423495.1.RAST.fbamodel,R2A_edition_003,0.85000 (34/40),0.91892 (34/37),16,19,3,0.7839951582511154,2.028712028855266
29,GCF_001422165.1.RAST.fbamodel,GCF_001422375.1.RAST.fbamodel,R2A_edition_003,0.90000 (36/40),0.78261 (36/46),15,13,4,0.8388593795359833,2.4347450037197635
30,GCF_001422165.1.RAST.fbamodel,GCF_001422285.1.RAST.fbamodel,R2A_edition_003,0.65000 (26/40),0.74286 (26/35),20,18,2,0.8821602182590486,0.9956019031558567
31,GCF_001422165.1.RAST.fbamodel,GCF_942548115.1.RAST.fbamodel,R2A_edition_003,0.65000 (26/40),0.68421 (26/38),15,30,6,0.7613051518243471,2.042664658560814
32,GCF_001422165.1.RAST.fbamodel,GCF_001423745.1.RAST.fbamodel,R2A_edition_003,0.70000 (28/40),0.80000 (28/35),24,26,6,0.8854457722321312,1.8501662181849308
33,GCF_001422165.1.RAST.fbamodel,GCF_001424325.1.RAST.fbamodel,R2A_edition_003,0.57500 (23/40),0.69697 (23/33),16,24,6,0.7565776322607405,0.7709397208717096
34,GCF_001422165.1.RAST.fbamodel,GCF_001423765.1.RAST.fbamodel,R2A_edition_003,0.67500 (27/40),0.77143 (27/35),19,18,5,0.7577452691240096,0.9318962864236394
35,GCF_001422165.1.RAST.fbamodel,GCF_001421765.1.RAST.fbamodel,R2A_edition_003,0.65000 (26/40),0.70270 (26/37),23,19,6,0.8785692578132533,0.5250774698436882
36,GCF_001422165.1.RAST.fbamodel,GCF_001424105.1.RAST.fbamodel,R2A_edition_003,0.72500 (29/40),0.87879 (29/33),24,18,9,0.889859193698534,0.6389591220144852
37,GCF_001422165.1.RAST.fbamodel,GCF_001422735.1.RAST.fbamodel,R2A_edition_003,0.72500 (29/40),0.85294 (29/34),20,11,3,0.7729258268688443,0.5802339663203391
38,GCF_001422165.1.RAST.fbamodel,GCF_001424085.1.RAST.fbamodel,R2A_edition_003,0.62500 (25/40),0.78125 (25/32),19,23,4,0.8801312511221463,2.0134764890770778
39,GCF_001422165.1.RAST.fbamodel,GCF_001425405.1.RAST.fbamodel,R2A_edition_003,0.70000 (28/40),0.73684 (28/38),23,24,8,0.6975736524951799,0.7774453061227244
40,GCF_001422165.1.RAST.fbamodel,GCF_001423605.1.RAST.fbamodel,R2A_edition_003,0.67500 (27/40),0.77143 (27/35),23,20,3,0.8803067097365714,1.4792292178794344
41,GCF_001422165.1.RAST.fbamodel,GCF_001422545.1.RAST.fbamodel,R2A_edition_003,0.70000 (28/40),0.68293 (28/41),20,21,5,0.7484798849206795,0.5558871289650034
42,GCF_001422165.1.RAST.fbamodel,GCF_001421505.1.RAST.fbamodel,R2A_edition_003,0.67500 (27/40),0.69231 (27/39),17,19,6,0.6887047697252943,0.7262990114959225
43,GCF_001422165.1.RAST.fbamodel,GCF_001423905.1.RAST.fbamodel,R2A_edition_003,0.65000 (26/40),0.74286 (26/35),25,22,7,0.8317557835847392,2.0599930179596604
44,GCF_001422165.1.RAST.fbamodel,GCF_001425495.1.RAST.fbamodel,R2A_edition_003,0.77500 (31/40),0.77500 (31/40),20,19,3,0.7204856733046436,1.051128670834391
45,GCF_001422165.1.RAST.fbamodel,GCF_001421425.1.RAST.fbamodel,R2A_edition_003,0.77500 (31/40),0.81579 (31/38),21,15,4,0.8576763869458545,0.8177886592249621
46,GCF_001422165.1.RAST.fbamodel,GCF_001421945.1.RAST.fbamodel,R2A_edition_003,0.65000 (26/40),0.68421 (26/38),18,22,4,0.7707424058838713,0.750741521202515
47,GCF_001422165.1.RAST.fbamodel,GCF_920939515.1.RAST.fbamodel,R2A_edition_003,0.67500 (27/40),0.72973 (27/37),20,29,8,0.6763640470850004,0.8757110380576685
48,GCF_001422165.1.RAST.fbamodel,GCF_001423155.1.RAST.fbamodel,R2A_edition_003,0.77500 (31/40),0.81579 (31/38),22,14,6,0.9004247756986212,1.9858861479172898
49,GCF_001422165.1.RAST.fbamodel,GCF_001423325.1.RAST.fbamodel,R2A_edition_003,0.85000 (34/40),0.87179 (34/39),19,23,5,0.8556940964342787,2.7037696052006424
50,GCF_001422165.1.RAST.fbamodel,GCF_001422725.1.RAST.fbamodel,R2A_edition_003,0.67500 (27/40),0.93103 (27/29),19,16,5,0.8838163513287922,0.6337347679076433
51,GCF_001422165.1.RAST.fbamodel,GCF_001421585.1.RAST.fbamodel,R2A_edition_003,0.82500 (33/40),0.70213 (33/47),24,23,7,0.827262516875232,2.7083901638724126
52,GCF_001422165.1.RAST.fbamodel,GCF_920939495.1.RAST.fbamodel,R2A_edition_003,0.75000 (30/40),0.78947 (30/38),20,18,5,0.8780320217176818,1.6358415043777652
53,GCF_001422165.1.RAST.fbamodel,GCF_001424145.1.RAST.fbamodel,R2A_edition_003,0.72500 (29/40),0.87879 (29/33),22,19,5,0.8899022366285677,0.6219110657264106
54,GCF_001422165.1.RAST.fbamodel,GCF_920984725.1.RAST.fbamodel,R2A_edition_003,0.85000 (34/40),0.91892 (34/37),19,18,7,0.8802013585500769,2.2246286261856976
55,GCF_001422165.1.RAST.fbamodel,GCF_001424265.1.RAST.fbamodel,R2A_edition_003,0.70000 (28/40),0.80000 (28/35),19,25,5,0.8298880947534697,1.2741952352891488
56,GCF_001422165.1.RAST.fbamodel,GCF_001423185.1.RAST.fbamodel,R2A_edition_003,0.62500 (25/40),0.73529 (25/34),21,25,6,0.8804023666201729,1.2797480507419199
57,GCF_001422165.1.RAST.fbamodel,GCF_001423925.1.RAST.fbamodel,R2A_edition_003,0.65000 (26/40),0.74286 (26/35),18,17,4,0.8787784630952467,1.6651745428242928
58,GCF_001422165.1.RAST.fbamodel,GCF_920939475.1.RAST.fbamodel,R2A_edition_003,0.65000 (26/40),0.70270 (26/37),23,19,8,0.9250589833024294,0.7241736570067208
59,GCF_001422165.1.RAST.fbamodel,GCF_001421165.1.RAST.fbamodel,R2A_edition_003,0.65000 (26/40),0.68421 (26/38),20,20,4,0.624889465729121,1.624440218904061
60,GCF_001422165.1.RAST.fbamodel,GCF_001426125.1.RAST.fbamodel,R2A_edition_003,0.75000 (30/40),0.88235 (30/34),21,19,4,0.8259161369132243,0.6986521647542292
61,GCF_001422165.1.RAST.fbamodel,GCF_001422025.1.RAST.fbamodel,R2A_edition_003,0.62500 (25/40),0.78125 (25/32),21,15,4,0.898378268277274,2.3943449732197264
62,GCF_001422165.1.RAST.fbamodel,GCF_001422145.1.RAST.fbamodel,R2A_edition_003,0.60000 (24/40),0.60000 (24/40),18,30,6,0.7933905833614189,1.962827065647297
63,GCF_001422165.1.RAST.fbamodel,GCF_001421355.1.RAST.fbamodel,R2A_edition_003,0.80000 (32/40),0.72727 (32/44),25,21,7,0.8677517285836946,2.568048897175661
64,GCF_001422165.1.RAST.fbamodel,GCF_001421845.1.RAST.fbamodel,R2A_edition_003,0.67500 (27/40),0.77143 (27/35),18,28,6,0.6763579383609813,0.8805537384709866
65,GCF_001422165.1.RAST.fbamodel,GCF_001422245.1.RAST.fbamodel,R2A_edition_003,0.60000 (24/40),0.68571 (24/35),24,26,7,0.9030061112585118,0.6141038529674742
66,GCF_001422165.1.RAST.fbamodel,GCF_001423465.1.RAST.fbamodel,R2A_edition_003,0.72500 (29/40),0.76316 (29/38),26,21,6,0.8592879192240405,1.441040819554435
67,GCF_001422165.1.RAST.fbamodel,GCF_920984675.1.RAST.fbamodel,R2A_edition_003,0.77500 (31/40),0.86111 (31/36),15,15,2,0.8863628572259201,0.9027663107925697
68,GCF_001422165.1.RAST.fbamodel,GCF_001424405.1.RAST.fbamodel,R2A_edition_003,0.70000 (28/40),0.66667 (28/42),18,17,3,0.8765640784952801,0.5521609155158517
69,GCF_001422165.1.RAST.fbamodel,GCF_001424565.1.RAST.fbamodel,R2A_edition_003,0.75000 (30/40),0.83333 (30/36),21,22,5,0.8630852140971363,2.0231422162931683
70,GCF_001422165.1.RAST.fbamodel,GCF_001422795.1.RAST.fbamodel,R2A_edition_003,0.85000 (34/40),0.87179 (34/39),16,16,2,0.7859327096714275,1.8577172169856733
71,GCF_001422165.1.RAST.fbamodel,GCF_001423105.1.RAST.fbamodel,R2A_edition_003,0.57500 (23/40),0.67647 (23/34),19,23,4,0.7374317846366444,0.8926891605651476
72,GCF_001422165.1.RAST.fbamodel,GCF_001423285.1.RAST.fbamodel,R2A_edition_003,0.87500 (35/40),0.85366 (35/41),15,18,2,0.7876967690779042,1.8575412726118405
73,GCF_001422165.1.RAST.fbamodel,GCF_001422365.1.RAST.fbamodel,R2A_edition_003,0.65000 (26/40),0.78788 (26/33),22,19,5,0.8808951022779444,1.3423501909611602
74,GCF_001422165.1.RAST.fbamodel,GCF_001421825.1.RAST.fbamodel,R2A_edition_003,0.87500 (35/40),0.89744 (35/39),19,20,6,0.8802196202164353,2.222942585216961
75,GCF_001422165.1.RAST.fbamodel,GCF_001423215.1.RAST.fbamodel,R2A_edition_003,0.57500 (23/40),0.79310 (23/29),21,27,2,0.8785120028912341,0.48497853853558276
76,GCF_001422165.1.RAST.fbamodel,GCF_001424225.1.RAST.fbamodel,R2A_edition_003,0.65000 (26/40),0.74286 (26/35),19,25,3,0.8639074438612393,1.8100755777172497
77,GCF_001422165.1.RAST.fbamodel,GCF_001425385.1.RAST.fbamodel,R2A_edition_003,0.67500 (27/40),0.75000 (27/36),18,26,4,0.6763579383609865,0.8757195150202455
78,GCF_001422165.1.RAST.fbamodel,GCF_001421685.1.RAST.fbamodel,R2A_edition_003,0.77500 (31/40),0.81579 (31/38),20,20,4,0.8538347913838924,2.574547708534901
79,GCF_001422165.1.RAST.fbamodel,GCF_001424645.1.RAST.fbamodel,R2A_edition_003,0.60000 (24/40),0.61538 (24/39),16,26,5,0.7933905833614225,1.9628270656469624
80,GCF_001422165.1.RAST.fbamodel,GCF_001421275.1.RAST.fbamodel,R2A_edition_003,0.65000 (26/40),0.72222 (26/36),22,19,2,0.884130256111777,1.9857832115515828
81,GCF_001422165.1.RAST.fbamodel,GCF_001424545.1.RAST.fbamodel,R2A_edition_003,0.67500 (27/40),0.75000 (27/36),17,15,4,0.7724775876273696,0.5976808067373911
82,GCF_001422165.1.RAST.fbamodel,GCF_001424065.1.RAST.fbamodel,R2A_edition_003,0.57500 (23/40),0.69697 (23/33),20,24,5,0.7569025543383083,0.7696487948949204
83,GCF_001422165.1.RAST.fbamodel,GCF_001421635.1.RAST.fbamodel,R2A_edition_003,0.67500 (27/40),0.72973 (27/37),18,26,4,0.6763579383609826,0.8757195150202368
84,GCF_001422165.1.RAST.fbamodel,GCF_920984705.1.RAST.fbamodel,R2A_edition_003,0.72500 (29/40),0.85294 (29/34),22,18,7,0.8899022366285653,0.6219110657261967
85,GCF_001422165.1.RAST.fbamodel,GCF_001426065.1.RAST.fbamodel,R2A_edition_003,0.62500 (25/40),0.65789 (25/38),17,26,5,0.8775200192322998,0.566827144107508
86,GCF_001422165.1.RAST.fbamodel,GCF_920984685.1.RAST.fbamodel,R2A_edition_003,0.77500 (31/40),0.81579 (31/38),21,17,3,0.8575712483662,1.0220981673883673
87,GCF_001422165.1.RAST.fbamodel,GCF_001425525.1.RAST.fbamodel,R2A_edition_003,0.70000 (28/40),0.87500 (28/32),20,20,2,0.7595405630500237,0.732252686009688
88,GCF_001422165.1.RAST.fbamodel,GCF_001426145.1.RAST.fbamodel,R2A_edition_003,0.60000 (24/40),0.60000 (24/40),18,26,5,0.8775200192322978,0.5668271441075228
89,GCF_001422165.1.RAST.fbamodel,GCF_001425575.1.RAST.fbamodel,R2A_edition_003,0.62500 (25/40),0.80645 (25/31),18,18,3,0.7497502876852585,1.6602483695520744
90,GCF_001422165.1.RAST.fbamodel,GCF_001424005.1.RAST.fbamodel,R2A_edition_003,0.85000 (34/40),0.91892 (34/37),17,20,5,0.8802012549901916,2.224613475758846
91,GCF_001422165.1.RAST.fbamodel,GCF_001424285.1.RAST.fbamodel,R2A_edition_003,0.62500 (25/40),0.71429 (25/35),18,18,2,0.8822808118679651,1.0078637843617604
92,GCF_001422165.1.RAST.fbamodel,GCF_001423645.1.RAST.fbamodel,R2A_edition_003,0.67500 (27/40),0.71053 (27/38),17,21,5,0.8725542461108805,1.7728464523593246
93,GCF_001422165.1.RAST.fbamodel,GCF_001421865.1.RAST.fbamodel,R2A_edition_003,0.62500 (25/40),0.64103 (25/39),23,25,5,0.7566654922920125,2.0176940239635632
94,GCF_001422165.1.RAST.fbamodel,GCF_001424525.1.RAST.fbamodel,R2A_edition_003,0.85000 (34/40),0.87179 (34/39),19,16,6,0.8280168964265807,1.7629397558379711
95,GCF_001422165.1.RAST.fbamodel,GCF_001422865.1.RAST.fbamodel,R2A_edition_003,0.75000 (30/40),0.75000 (30/40),16,17,3,0.7563680025043983,0.5697436871403151
96,GCF_001422165.1.RAST.fbamodel,GCF_001424425.1.RAST.fbamodel,R2A_edition_003,0.72500 (29/40),0.82857 (29/35),17,11,3,0.7724145699753545,0.5841388463038555
97,GCF_001422165.1.RAST.fbamodel,GCF_001423825.1.RAST.fbamodel,R2A_edition_003,0.55000 (22/40),0.62857 (22/35),18,27,6,0.8034654318653799,2.157115335459902
98,GCF_001422165.1.RAST.fbamodel,GCF_001421435.1.RAST.fbamodel,R2A_edition_003,0.72500 (29/40),0.87879 (29/33),21,15,8,0.8901331608703845,0.6955557441935494
99,GCF_001422165.1.RAST.fbamodel,GCF_001421965.1.RAST.fbamodel,R2A_edition_003,0.65000 (26/40),0.70270 (26/37),19,20,6,0.7658955173013823,0.8714238680712284
100,GCF_001422165.1.RAST.fbamodel,GCF_001422075.1.RAST.fbamodel,R2A_edition_003,0.75000 (30/40),0.78947 (30/38),17,16,2,0.894818732681196,1.9640160579498305
101,GCF_001422165.1.RAST.fbamodel,GCF_001421715.1.RAST.fbamodel,R2A_edition_003,0.65000 (26/40),0.70270 (26/37),20,18,6,0.7658891977232972,0.8714319196099085
102,GCF_001422165.1.RAST.fbamodel,GCF_001421155.1.RAST.fbamodel,R2A_edition_003,0.65000 (26/40),0.72222 (26/36),20,24,7,0.7658598823014355,0.8725784277868898
103,GCF_001422165.1.RAST.fbamodel,GCF_001423785.1.RAST.fbamodel,R2A_edition_003,0.60000 (24/40),0.72727 (24/33),18,29,6,0.8068965680456759,1.985366227161615
104,GCF_001422165.1.RAST.fbamodel,GCF_001423945.1.RAST.fbamodel,R2A_edition_003,0.77500 (31/40),0.75610 (31/41),17,16,4,0.6221124719815369,2.3422024889170316
105,GCF_001422165.1.RAST.fbamodel,GCF_001423335.1.RAST.fbamodel,R2A_edition_003,0.67500 (27/40),0.67500 (27/40),15,21,3,0.7558394327256873,0.7177339354872938
106,GCF_001422165.1.RAST.fbamodel,GCF_001422695.1.RAST.fbamodel,R2A_edition_003,0.62500 (25/40),0.75758 (25/33),20,22,4,0.8863954841964008,2.0233057711846265
107,GCF_001422165.1.RAST.fbamodel,GCF_001422485.1.RAST.fbamodel,R2A_edition_003,0.62500 (25/40),0.71429 (25/35),22,19,3,0.8756915880301847,1.6373447162535737
108,GCF_001422165.1.RAST.fbamodel,GCF_001421805.1.RAST.fbamodel,R2A_edition_003,0.80000 (32/40),0.80000 (32/40),19,18,5,0.881190660661015,2.359479613935703
109,GCF_001422165.1.RAST.fbamodel,GCF_001422125.1.RAST.fbamodel,R2A_edition_003,0.87500 (35/40),0.83333 (35/42),17,12,3,0.896726932341434,0.0781156532686608
110,GCF_001422165.1.RAST.fbamodel,GCF_001424165.1.RAST.fbamodel,R2A_edition_003,0.70000 (28/40),0.90323 (28/31),19,12,2,0.8919769019246527,1.6051633751400016
111,GCF_001422165.1.RAST.fbamodel,GCF_001423985.1.RAST.fbamodel,R2A_edition_003,0.70000 (28/40),0.82353 (28/34),20,13,5,0.8624955820860656,0.7651866136840265
112,GCF_001422165.1.RAST.fbamodel,GCF_001421905.1.RAST.fbamodel,R2A_edition_003,0.72500 (29/40),0.87879 (29/33),20,17,3,0.8668068013321811,0.4903918396282418
113,GCF_001422165.1.RAST.fbamodel,GCF_916862475.1.RAST.fbamodel,R2A_edition_003,0.67500 (27/40),0.71053 (27/38),19,19,4,0.7659020769795339,2.317682677663084
114,GCF_001422165.1.RAST.fbamodel,GCF_001423265.1.RAST.fbamodel,R2A_edition_003,0.85000 (34/40),0.87179 (34/39),18,14,4,0.8277546786386311,1.7641554472517877
115,GCF_001422165.1.RAST.fbamodel,GCF_001422045.1.RAST.fbamodel,R2A_edition_003,0.87500 (35/40),0.89744 (35/39),19,21,7,0.8802009442995992,2.2245680242908636
116,GCF_001422165.1.RAST.fbamodel,GCF_001422645.1.RAST.fbamodel,R2A_edition_003,0.72500 (29/40),0.78378 (29/37),18,27,5,0.8766152480127329,2.0556488539197106
117,GCF_001422165.1.RAST.fbamodel,GCF_001423865.2.RAST.fbamodel,R2A_edition_003,0.67500 (27/40),0.75000 (27/36),22,20,4,0.7867733374792568,0.44911087919822845
118,GCF_001422165.1.RAST.fbamodel,GCF_001421435.1.RAST.fbamodel,R2A_edition_003,0.72500 (29/40),0.87879 (29/33),21,15,6,0.890133160870385,0.6955557441935494
119,GCF_001422165.1.RAST.fbamodel,GCF_001422955.1.RAST.fbamodel,R2A_edition_003,0.67500 (27/40),0.69231 (27/39),19,17,6,0.765848819246044,2.3058197692586697
120,GCF_001422165.1.RAST.fbamodel,GCF_001421785.1.RAST.fbamodel,R2A_edition_003,0.65000 (26/40),0.76471 (26/34),18,18,4,0.6677200570621772,0.7803809959595249
121,GCF_001422165.1.RAST.fbamodel,GCF_001421625.1.RAST.fbamodel,R2A_edition_003,0.75000 (30/40),0.73171 (30/41),24,19,4,0.8927260752001588,2.3595268150642923
122,GCF_001422165.1.RAST.fbamodel,GCF_001422985.1.RAST.fbamodel,R2A_edition_003,0.87500 (35/40),0.92105 (35/38),14,16,3,0.7858707946798966,2.4730719656053934
123,GCF_001422165.1.RAST.fbamodel,GCF_001423295.1.RAST.fbamodel,R2A_edition_003,0.92500 (37/40),0.90244 (37/41),15,12,2,0.8887874353424586,1.5220267838223742
124,GCF_001422165.1.RAST.fbamodel,GCF_001424365.1.RAST.fbamodel,R2A_edition_003,0.65000 (26/40),0.81250 (26/32),19,14,4,0.8953573017345647,0.08572013524270429
125,GCF_001422165.1.RAST.fbamodel,GCF_920939485.1.RAST.fbamodel,R2A_edition_003,0.75000 (30/40),0.88235 (30/34),17,17,4,0.7741689923631452,1.6877740708803508
126,GCF_001422165.1.RAST.fbamodel,GCF_001422065.1.RAST.fbamodel,R2A_edition_003,0.72500 (29/40),0.82857 (29/35),18,10,3,0.7724145699753542,0.584138846305094
127,GCF_001422165.1.RAST.fbamodel,GCF_001423125.1.RAST.fbamodel,R2A_edition_003,0.75000 (30/40),0.90909 (30/33),18,16,3,0.8951144517533778,0.6109056912358773
128,GCF_001422165.1.RAST.fbamodel,GCF_001424345.1.RAST.fbamodel,R2A_edition_003,0.72500 (29/40),0.69048 (29/42),17,27,4,0.8818663498854109,1.708064400884801
129,GCF_001422165.1.RAST.fbamodel,GCF_001424025.1.RAST.fbamodel,R2A_edition_003,0.77500 (31/40),0.86111 (31/36),15,16,4,0.6728189884596446,0.7288207351461305
130,GCF_001422165.1.RAST.fbamodel,GCF_001425485.1.RAST.fbamodel,R2A_edition_003,0.70000 (28/40),0.84848 (28/33),17,20,2,0.7595139037870164,0.7323427015927358
131,GCF_001422165.1.RAST.fbamodel,GCF_001421885.1.RAST.fbamodel,R2A_edition_003,0.77500 (31/40),0.77500 (31/40),23,17,5,0.8572891475620591,1.0093165567219793
132,GCF_001422165.1.RAST.fbamodel,GCF_001422495.1.RAST.fbamodel,R2A_edition_003,0.65000 (26/40),0.70270 (26/37),20,19,5,0.8785692578132487,0.5250774698435444
133,GCF_001422165.1.RAST.fbamodel,GCF_001425605.1.RAST.fbamodel,R2A_edition_003,0.60000 (24/40),0.72727 (24/33),21,23,5,0.8599474962117241,2.0134764890766528
134,GCF_001422165.1.RAST.fbamodel,GCF_001421915.1.RAST.fbamodel,R2A_edition_003,0.65000 (26/40),0.74286 (26/35),18,15,5,0.5847511426123798,1.0894384142347637
135,GCF_001422165.1.RAST.fbamodel,GCF_001422345.1.RAST.fbamodel,R2A_edition_003,0.90000 (36/40),0.83721 (36/43),17,13,4,0.8965781761324555,1.4219497177034272e-05
136,GCF_001422165.1.RAST.fbamodel,GCF_001424595.1.RAST.fbamodel,R2A_edition_003,0.57500 (23/40),0.71875 (23/32),20,27,3,0.8617713628058945,2.044115544797788
137,GCF_001422165.1.RAST.fbamodel,GCF_001425445.1.RAST.fbamodel,R2A_edition_003,0.62500 (25/40),0.69444 (25/36),16,26,3,0.8808536226146717,0.7507425761893937
138,GCF_001422165.1.RAST.fbamodel,GCF_001421605.1.RAST.fbamodel,R2A_edition_003,0.65000 (26/40),0.72222 (26/36),19,25,9,0.7658876178532406,0.8725059847923516
139,GCF_001422165.1.RAST.fbamodel,GCF_001422525.1.RAST.fbamodel,R2A_edition_003,0.75000 (30/40),0.71429 (30/42),24,21,5,0.8811906894240666,2.3593841561050723
140,GCF_001422165.1.RAST.fbamodel,GCF_001421315.1.RAST.fbamodel,R2A_edition_003,0.62500 (25/40),0.73529 (25/34),21,24,5,0.8804023666201769,1.280960018373757
141,GCF_001422165.1.RAST.fbamodel,GCF_916858655.1.RAST.fbamodel,R2A_edition_003,0.70000 (28/40),0.71795 (28/39),15,23,2,0.739824344714425,3.194818294654858
142,GCF_001422165.1.RAST.fbamodel,GCF_001422605.1.RAST.fbamodel,R2A_edition_003,0.65000 (26/40),0.72222 (26/36),31,15,6,0.7139734605202819,0.6481495842748966
143,GCF_001422165.1.RAST.fbamodel,GCF_001423805.1.RAST.fbamodel,R2A_edition_003,0.60000 (24/40),0.66667 (24/36),21,21,5,0.8620941047436163,1.6825067995473164
144,GCF_001422165.1.RAST.fbamodel,GCF_001424605.1.RAST.fbamodel,R2A_edition_003,0.70000 (28/40),0.80000 (28/35),16,22,4,0.7741673770596567,1.687775437712767
145,GCF_001422165.1.RAST.fbamodel,GCF_001422895.1.RAST.fbamodel,R2A_edition_003,0.87500 (35/40),0.81395 (35/43),15,13,3,0.8965781170040286,1.809748576252999e-05
146,GCF_001422165.1.RAST.fbamodel,GCF_001424585.1.RAST.fbamodel,R2A_edition_003,0.80000 (32/40),0.74419 (32/43),23,16,6,0.9036745895968761,0.5168323754114613
