Metabolite/Donor ID,Environment,Species1,Species2
4abzglu-e_e0,0.019437903444834623,-0.019437903444834627,0.0
argarg_e0,-45.81198893491976,0.0,45.81198893491976
cpd00001_e0,-100.0,-205.59060353906708,734.1990529135878
cpd00007_e0,100.0,-99.93218525165881,-0.0678147483411771
cpd00009_e0,-100.0,148.33785286880368,-48.33785286880367
cpd00011_e0,-100.0,242.9689896446128,-142.9689896446128
cpd00013_e0,-100.0,278.16906951043353,-178.1690695104336
cpd00020_e0,-100.0,-82.52110974743812,182.52110974743812
cpd00023_e0,-100.0,200.0,-99.99999999999999
cpd00024_e0,24.449163472855062,-24.449163472855062,0.0
cpd00025_e0,-50.0,50.0,0.0
cpd00027_e0,-100.0,0.0,99.99999999999999
cpd00028_e0,0.1356294966823542,0.0,-0.1356294966823542
cpd00029_e0,-100.0,58.2468722767069,41.75312772329308
cpd00030_e0,0.15570661369338823,-0.02007711701103401,-0.1356294966823542
cpd00033_e0,-100.0,-281.64748119056793,381.64748119056793
cpd00034_e0,0.14553730695842163,-0.009907810276067438,-0.1356294966823542
cpd00035_e0,-100.0,-154.0802910448563,254.0802910448563
cpd00036_e0,-100.0,-529.078953422462,629.078953422462
cpd00039_e0,19.66194779978848,-9.970598481365329,-9.691349318423148
cpd00041_e0,-100.0,336.88256965192465,-236.88256965192457
cpd00048_e0,0.12604129318938576,-0.12604129318938576,0.0
cpd00051_e0,8.594284507854955,-8.594284507854955,0.0
cpd00053_e0,-100.0,-90.94681826193919,190.9468182619392
cpd00054_e0,10.309817498881719,0.0,-10.309817498881717
cpd00058_e0,-99.97939989007118,99.97939989007118,0.0
cpd00060_e0,-91.06638025398026,-4.458892341337645,95.5252725953179
cpd00063_e0,0.28686161541235716,-0.15123211873000297,-0.1356294966823542
cpd00065_e0,3.254178155189252,98.34841742075518,-101.60259557594442
cpd00066_e0,-89.37089532480239,-5.382904606438809,94.75379993124119
cpd00067_e0,-100.0,-416.91192652297,917.4247470357915
cpd00069_e0,-92.09275385515939,-4.0065906329284315,96.09934448808782
cpd00071_e0,-100.0,100.0,0.0
cpd00075_e0,100.0,-100.0,0.0
cpd00076_e0,1.0408131547035445e-13,0.0,0.0
cpd00080_e0,100.0,-100.0,0.0
cpd00082_e0,-100.0,0.0,99.99999999999997
cpd00084_e0,5.568770478391957,-2.7121831613776832,-2.856587317014274
cpd00092_e0,-100.0,100.68288347483404,-0.6828834748340553
cpd00099_e0,0.15123211873000297,-0.15123211873000297,0.0
cpd00100_e0,100.0,-100.0,0.0
cpd00104_e0,0.135687607006554,-5.8110324199809005e-05,-0.1356294966823542
cpd00105_e0,-12.921266413259131,0.0,12.921266413259131
cpd00106_e0,-100.0,91.57535254578983,8.424647454210177
cpd00107_e0,-100.0,-13.090251236032074,113.09025123603209
cpd00108_e0,-3.5825402271342996,0.0,0.0
cpd00116_e0,-100.0,0.0,0.0
cpd00117_e0,-100.0,-1.2110772666482195,101.21107726664823
cpd00119_e0,100.0,-2.7526279470207533,-97.24737205297924
cpd00122_e0,0.0,0.0,-5.373810340701538
cpd00128_e0,-100.0,100.0,0.0
cpd00129_e0,-100.0,-6.422788857994396,106.4227888579944
cpd00130_e0,-93.61429171886927,93.61429171886927,0.0
cpd00132_e0,-99.48034400657303,-7.0038920999924805,106.4842361065655
cpd00137_e0,100.0,-99.99999999999999,0.0
cpd00141_e0,-100.0,0.0,100.0
cpd00149_e0,0.1363558757348518,-0.0007263790524976125,-0.1356294966823542
cpd00151_e0,-98.55685915365986,98.55685915365986,0.0
cpd00156_e0,-100.0,0.0,100.0
cpd00157_e0,-100.0,100.0,0.0
cpd00159_e0,-100.0,0.0,100.0
cpd00161_e0,-100.0,-7.370916907638445,107.37091690763845
cpd00164_e0,-100.0,0.0,0.0
cpd00166_e0,0.1356294966823542,0.0,-0.1356294966823542
cpd00179_e0,0.0,0.0,-206.79419689496493
cpd00182_e0,100.0,-93.6966859685603,-6.303314031439696
cpd00184_e0,100.0,-99.31711652516594,-0.6828834748340556
cpd00205_e0,5.806993752449014,-5.67136425576666,-0.1356294966823542
cpd00207_e0,-100.0,100.0,0.0
cpd00209_e0,100.0,-100.0,0.0
cpd00214_e0,100.0,0.0,0.0
cpd00218_e0,0.2712589933648429,0.0,-0.2712589933648429
cpd00220_e0,0.27125899336470843,0.0,-0.2712589933647084
cpd00221_e0,-100.0,1000.0000000000001,-900.0000000000001
cpd00224_e0,-7.034652955915025e-14,0.0,0.0
cpd00226_e0,-100.0,100.0,0.0
cpd00232_e0,-3.582540227135075,0.0,3.582540227135075
cpd00244_e0,0.009384817358269156,-0.009384817358269154,0.0
cpd00246_e0,32.66941146709127,-32.66941146709127,0.0
cpd00249_e0,-100.00000000058246,-4.869848554078707,104.86984855466116
cpd00254_e0,0.3876830278990258,-0.25205353121667157,-0.1356294966823542
cpd00263_e0,0.1421087978306329,-0.006479301148278704,-0.1356294966823542
cpd00264_e0,0.1356294966823542,0.0,-0.1356294966823542
cpd00276_e0,-100.0,-1.6147696888642926,-198.3852303111357
cpd00277_e0,100.0,-99.31711652516594,-0.6828834748340553
cpd00280_e0,-100.0,100.00000000000003,0.0
cpd00281_e0,-100.0,0.0,99.99999999999999
cpd00305_e0,0.14210879783063293,-0.006479301148278706,-0.13562949668235422
cpd00309_e0,-100.0,100.0,0.0
cpd00311_e0,100.0,-93.92456560490996,-6.075434395090032
cpd00322_e0,20.982214365608133,-8.441367189723156,-12.540847175884977
cpd00355_e0,0.06618765926305423,-0.06618765926305423,0.0
cpd00359_e0,100.0,-100.0,0.0
cpd00363_e0,100.0,232.47400019030897,-332.47400019030897
cpd00367_e0,100.0,12.7191005959504,-112.7191005959504
cpd00383_e0,0.006479301148278705,-0.006479301148278705,0.0
cpd00391_e0,43.19608305368893,-43.19608305368893,0.0
cpd00393_e0,0.40688849004706285,0.0,-0.40688849004706285
cpd00418_e0,0.22686270567605438,-0.22686270567605438,0.0
cpd00430_e0,-100.0,0.0,100.0
cpd00438_e0,100.0,-100.0,0.0
cpd00441_e0,-100.00000000000001,100.0,0.0
cpd00448_e0,-100.0,100.0,0.0
cpd00450_e0,-100.0,99.99999999999999,0.0
cpd00532_e0,100.0,-100.0,0.0
cpd00536_e0,-1.6959588943619152e-18,1.6959588943619152e-18,0.0
cpd00573_e0,100.00000000000001,-100.00000000000001,0.0
cpd00644_e0,0.29084217262010387,-0.019583179255332317,-0.2712589933647716
cpd00654_e0,100.0,-100.0,0.0
cpd00659_e0,-0.11343135283802717,0.11343135283802717,0.0
cpd00722_e0,-100.0,100.0,0.0
cpd00731_e0,-3.971784845445795e-17,3.971784845445795e-17,0.0
cpd00781_e0,-100.0,100.0,0.0
cpd00811_e0,100.0,-99.99999999999999,0.0
cpd00908_e0,1.3487075748038863e-18,-1.3487075748038863e-18,0.0
cpd00971_e0,0.13562949668235316,-1.2998622723551392e-17,-0.13562949668232704
cpd01015_e0,9.160142003674194,-9.160142003674194,0.0
cpd01080_e0,6.525680450780674,-6.525680450780674,0.0
cpd01217_e0,-100.0,100.0,0.0
cpd01262_e0,-12.890127229791801,0.0,0.0
cpd01329_e0,2.274248662218583,-2.274248662218583,0.0
cpd02027_e0,0.01295860229655741,-0.01295860229655741,0.0
cpd02090_e0,57.78467394241317,-57.78467394241317,0.0
cpd03279_e0,93.40288958131262,-93.40288958131262,0.0
